ID,mox,mox_FDR,moxYG,moxYG_FDR,logCPM
YBR010W,0.565743355,0.27176212,-0.49901929,0.34526102,6.696187455
YBR011C,-0.528729887,0.260713327,-0.505521739,0.284560827,9.738481045
YBR012C,-0.16580437,0.799433311,-0.130509453,0.87209234,2.739176012
YBR012W-A,-0.195785084,0.854621801,0.922605522,0.144447005,-0.39447233
YBR012W-B,0.297219488,0.476591954,0.147919242,0.774055126,5.638359279
YBR013C,-0.089725965,0.870023452,0.38262426,0.303675205,3.868340823
YBR014C,0.516607057,0.22442296,0.177670532,0.748727632,4.484327639
YBR015C,0.539312401,0.162974847,0.753697942,0.031710007,7.553869486
YBR016W,-0.215293705,0.604698854,-0.187741256,0.677539536,4.51745771
YBR017C,-0.059087434,0.938198398,0.06348873,0.93703698,5.514196944
YBR018C,-0.09514425,0.936900736,0.78897504,0.115028731,1.211642896
YBR019C,0.2380552,0.569213946,0.615342637,0.066444887,4.46096591
YBR020W,-0.265041326,0.577636408,-0.010772752,1,3.826271809
YBR021W,1.458311218,1.60E-05,1.482148854,1.17E-05,7.501959741
YBR022W,0.178553323,0.721629089,-0.249990848,0.617818738,2.948509679
YBR023C,0.509619136,0.219190817,0.683462222,0.073147519,7.470288757
YBR024W,0.111275121,0.868358383,-0.209412694,0.722486461,2.563240646
YBR025C,0.112779556,0.86652559,0.251351188,0.651089954,8.397528411
YBR026C,-0.300419743,0.423525324,-0.49373876,0.13958046,4.882202814
YBR027C,-0.229832432,0.725097599,-0.298970511,0.659038268,-0.011695964
YBR028C,0.87866303,0.058320423,0.380319453,0.4957129,3.085007265
YBR029C,0.261097853,0.552335172,1.136782631,0.000524675,8.190864862
YBR030W,-0.500223938,0.138563615,-0.651315622,0.037424421,3.526370442
YBR031W,-0.212115561,0.711685245,-0.176989564,0.777715899,12.76334893
YBR032W,-0.635026518,0.375949638,0.605112806,0.385263373,0.735094913
YBR033W,-0.040269801,0.972471037,0.564207189,0.073068414,3.674500026
YBR034C,0.46216877,0.320278011,0.221596083,0.69915928,5.796589218
YBR035C,-0.78917811,0.036428644,-0.876466605,0.015082753,6.592558672
YBR036C,0.040219132,0.9902788,0.348208797,0.513906386,8.996363781
YBR037C,-0.843380991,0.113384091,-0.319601928,0.636976823,4.02016274
YBR038W,0.185321174,0.706127406,0.303921709,0.496274016,6.379614693
YBR039W,1.279907969,0.000378483,1.117656825,0.002270531,5.961584246
YBR040W,0.399998228,0.681557681,-0.546663054,0.673837688,-1.607291062
